"code","label","value"
"AA.01","IFREMER",370.12
"AA.13","UM",84
"AA.16","IRD",1829.38820684892
"AA.22","UM",34.02
"AA.23","CNRS",2730.36
"AA.41","IFREMER",106.11
"AA.42","CNRS",397.5
"AA.42","IRD",590.15
"AA.42","UM",17.7
"AA.43","IRD",935.81
"AA.43","UM",163.75
"AA.44","UM",2639.55
"AA.51","IRD",45.734705171223
"AA.63","CNRS",26208.3
"AA.63","IFREMER",336.5
"AA.63","IRD",24798.5327025854
"AA.63","UM",2871.5
"AA.64","CNRS",34554.62
"AA.64","IFREMER",2520
"AA.64","IRD",2627.76961224354
"AA.64","UM",3070.48
"AB.01","CNRS",2312.04
"AB.01","IFREMER",950.2
"AB.01","IRD",1018.72903467311
"AB.01","UM",1586.06
"AB.02","CNRS",13710.42
"AB.02","IFREMER",1396.45
"AB.02","IRD",749.33
"AB.02","UM",4379.98
"AB.03","UM",724.12
"AB.11","UM",123.4
"AC.11","CNRS",3601.22
"AC.31","CNRS",2444.58
"AC.31","IFREMER",24.95
"AC.31","IRD",619.12
"AC.31","UM",176.97
"AD.11","IRD",475.618257367742
"AD.21","CNRS",767.92
"AD.21","IRD",149.020438839741
"AD.21","UM",2755.87
"AD.24","IRD",145.131464410014
"AD.31","UM",77
"AD.32","CNRS",82.5
"AD.32","IFREMER",589.44
"AD.41","CNRS",8.16
"AD.41","IRD",192.32351663295
"AD.41","UM",1599.5
"AD.42","UM",446.25
"AE.01","CNRS",150
"AE.01","UM",83.34
"AE.02","UM",501.83
"AE.05","UM",220.84
"AE.21","IRD",33.69
"AE.22","CNRS",2065.06
"AE.22","IRD",285.232639697552
"AE.22","UM",1406.39
"AF.21","IFREMER",2291.19
"AF.21","IRD",1600
"BB.01","CNRS",128.78
"BB.01","IFREMER",1159.02
"BB.02","CNRS",67.18
"BB.02","IFREMER",1159.02
"BB.03","CNRS",512.66
"BB.22","UM",316.25
"BD.02","IFREMER",4069.63
"BD.04","IFREMER",10017.38
"BD.12","IFREMER",898.28
"BD.14","IFREMER",63.67
"BD.15","CNRS",478.94
"BD.15","UM",105
"BD.21","CNRS",289.54
"BD.21","IFREMER",18.33
"BD.21","IRD",39.33
"BD.22","UM",6400.14
"BD.24","IRD",819.804696064778
"BD.25","IFREMER",17734.07
"BE.02","UM",1858
"BE.04","IRD",1087
"BE.05","UM",8981.67
"BE.06","IFREMER",12447.5
"BE.06","UM",2927.63
"BE.07","UM",589.86
"BE.08","IFREMER",17164
"BE.09","IFREMER",3300
"BE.13","IFREMER",6196.4
"BE.14","IFREMER",702.23
"BE.14","UM",1
"BE.15","IFREMER",8285.13
"BE.15","IRD",197.15886914483
"BE.17","IFREMER",9690
"CA.02","CNRS",4460
"CA.02","IRD",1806.7
"CA.03","IRD",4663.36298688808
"CA.03","UM",8449
"CA.11","IRD",6474.40657437451
"CA.13","CNRS",1946.9
"CA.21","CNRS",2138.86
"CA.21","IFREMER",169.5
"CA.22","CNRS",4206
"CA.23","IRD",485.83
"CA.31","IFREMER",500
"CA.31","IRD",417
"CA.34","IRD",1715.39621809203
"CB.01","IFREMER",1775.65
"CB.01","IRD",6843.18
"CB.03","IRD",2876.82
"CB.03","UM",145.05
"CB.11","CNRS",12674.24
"CB.11","UM",2825.64
"CB.12","IRD",30237.2733725515
"CB.12","UM",7126.91
"CB.13","IFREMER",2000
"CB.15","UM",217.5
"CB.25","IRD",4000
"CB.26","UM",1895
"CC.11","IRD",1950.12362607979
"CD.11","IRD",10430
"CD.11","UM",2849
"CD.13","IRD",2966
"CE.03","IFREMER",232.36
"CE.03","IRD",1267.43
"CE.03","UM",1551.6
"CF.11","UM",3370
"DA.02","IRD",2824.95727943254
"DA.02","UM",1105.79
"DA.11","IRD",18183
"DA.11","UM",11257
"DA.12","IRD",180059.984655823
"DA.12","UM",59879.79
"DA.13","IFREMER",18600
"DA.13","IRD",1856.25377733316
"DA.13","UM",5166.91
"DA.14","IRD",1219.59213789928
"DA.14","UM",340
"DA.17","IFREMER",81.5
"DB.11","IRD",19618.7374819173
"DB.11","UM",27982.8696596584
"DB.12","UM",1347
"DC.01","CNRS",51559.54
"DC.01","IFREMER",495
"DC.01","IRD",378.3
"EA.03","UM",794.78
"EB.04","IRD",10000
"EB.06","UM",344.98
"EB.21","IRD",28064.7452767178
"EB.22","IRD",2295.11249785283
"EB.33","IRD",33.6435606443735
"EB.51","CNRS",5210.42
"EB.53","IRD",1602.1476571666
"EC.01","CNRS",1250
"EC.01","IRD",150
"EC.01","UM",7650
"EC.02","IFREMER",560
"EC.02","IRD",320
"EC.04","UM",4480.75
"EC.07","UM",65
"EC.08","IFREMER",404
"EC.11","UM",1553
"FA.01","IFREMER",412.96
"FA.01","UM",561.7
"FA.02","CNRS",261.6
"FA.02","IRD",1483.95
"FA.03","UM",159.99
"FB.01","CNRS",13.42
"FB.01","IRD",44.3137673548529
"FB.02","IRD",4.56650290270459
"FB.06","IRD",572.621746529667
"FC.01","CNRS",905.18
"FC.01","IFREMER",7859.63
"FC.01","IRD",938.26
"FC.01","UM",900
"FC.02","IRD",6384.58
"FC.03","IRD",1902.69200188678
"FC.12","UM",1332.36
"FC.13","UM",1236.65
"FC.15","CNRS",299.12
"FC.15","IFREMER",1328.32
"FD.03","CNRS",1200
"GA.09","IRD",10.5954155419479
"GA.19","IFREMER",1066
"GA.41","IFREMER",160.8
"GA.41","UM",441.33
"GA.51","CNRS",560
"GA.51","IFREMER",9493.86
"GA.51","IRD",1525
"GA.51","UM",190
"GA.55","CNRS",384.26
"GA.55","UM",102.17
"GB.02","IFREMER",184.35
"GB.11","IFREMER",13559
"GB.21","CNRS",1352
"GC.01","IFREMER",408.5
"HA.01","CNRS",2197.78
"HA.01","IFREMER",4350.85
"HA.01","UM",611.84
"HA.03","CNRS",17.3
"HA.03","UM",255.3
"HA.06","IFREMER",2603.55
"HA.06","IRD",973.5
"HA.06","UM",89.69
"HA.11","CNRS",1331.54
"HA.11","IFREMER",428.36
"HA.11","UM",276.22
"HA.12","CNRS",59.68
"HA.23","CNRS",1450.12
"HB.01","UM",1192.8
"HC.01","CNRS",3315.04
"IA.22","CNRS",0
"IA.22","IFREMER",141.06
"IA.22","IRD",883.15
"IA.22","UM",1117.77
"IB.01","IRD",69.9609055637445
"IB.11","CNRS",1159.82
"IB.11","IFREMER",340.69
"IB.11","IRD",746.71
"IB.12","IRD",604.39
"IB.22","UM",546
"IB.31","CNRS",146.18
"IB.31","IFREMER",13715.2
"IB.31","IRD",99.99
"IB.31","UM",262.5
"IB.32","IRD",1140.14
"IB.33","IFREMER",72800
"IC.01","IFREMER",420
"IC.01","UM",728.29
"IC.02","IRD",1081.41
"IC.11","CNRS",166.66
"IC.11","UM",87.92
"IC.22","IRD",1290
"ID.01","UM",3750
"ID.13","IRD",3060
"ID.15","IRD",1108.32
"ID.18","IRD",19650
"ID.19","IRD",547.2
"ID.61","UM",4999
"ID.62","IRD",39000
"ID.76","IFREMER",1350
"ID.76","IRD",1280
"ID.76","UM",5000
"IE.34","IRD",1192.94
"IE.36","CNRS",1613.32
"IE.36","IFREMER",3364.38
"IE.36","IRD",1805.01
"IE.36","UM",1716
"IH.03","IRD",107.5
"II.01","IRD",749.53496762745
"II.02","CNRS",498.92
"II.02","IRD",564.961524490172
"II.02","UM",552.14
"II.03","IFREMER",7000
"II.04","IRD",788.9
"JA.01","CNRS",10660.64
"JA.01","IFREMER",1686.75
"JA.01","IRD",275.66
"JA.02","IFREMER",130.68
"JA.02","UM",1114.8
"JA.13","IFREMER",4256.78
"JA.14","IFREMER",154
"JB.11","IFREMER",6037.88
"KA.32","IFREMER",233.08
"KA.32","IRD",4900.33
"KA.34","UM",190
"KB.31","IFREMER",16319.5
"KC.01","IFREMER",92868.27
"KC.01","UM",104.3
"KC.13","IFREMER",2263.3
"KC.13","IRD",349.879868880822
"KC.13","UM",21.84
"KC.21","IFREMER",3164.89
"KC.23","IFREMER",117
"KC.31","IFREMER",2384.54
"KC.51","IFREMER",11492.78
"KD.21","CNRS",10470.28
"KD.21","IFREMER",10253.15
"KE.01","IFREMER",1660.83
"KE.12","IFREMER",173.79
"KE.22","CNRS",4730.76
"KE.22","IFREMER",189.23
"KE.23","UM",1127.28
"KE.31","CNRS",429
"KE.31","IRD",129.25
"KE.41","IFREMER",895.53
"KF.01","IFREMER",744
"KF.02","IFREMER",2749.75
"KG.02","IFREMER",3479.88
"KG.02","IRD",11294.5500243005
"KG.05","IRD",2008.63
"KG.12","IRD",599.999695101964
"KG.12","UM",4961.62
"LB.33","CNRS",214
"LB.33","UM",2457.9
"LB.42","CNRS",3435.7
"LB.61","IFREMER",286.66
"MA.01","UM",1234
"MA.02","UM",494.72
"MA.11","CNRS",1324.58
"MA.21","CNRS",2922
"MA.24","IRD",1887.34
"MA.32","IRD",706
"MA.44","UM",60100
"MB.03","CNRS",9380.84
"MB.03","IRD",4460
"MB.05","CNRS",360
"MB.05","IRD",4648.00379628439
"MB.05","UM",5593.82
"MC.01","IFREMER",1097.97
"NA.01","IFREMER",1335.68
"NA.03","CNRS",3885.84
"NA.03","IRD",300
"NA.05","CNRS",83.28
"NA.05","UM",1023.74
"NA.07","CNRS",3016.98
"NA.13","CNRS",521.4
"NA.21","CNRS",1866.46
"NA.21","IFREMER",3703.63
"NA.21","IRD",55
"NA.21","UM",448.46
"NA.24","CNRS",3731.62
"NA.24","UM",344.33
"NA.25","CNRS",817.94
"NA.25","UM",721.4
"NA.26","CNRS",307.48
"NA.28","CNRS",351.36
"NA.28","IFREMER",668.89
"NA.28","IRD",25.7094641826678
"NA.31","CNRS",5224.44
"NA.31","IFREMER",5744.98
"NA.31","IRD",1303.42
"NA.31","UM",14802.21
"NA.32","CNRS",391.26
"NA.32","UM",1128.1
"NA.41","UM",1176.64
"NA.44","CNRS",1750.7
"NA.45","UM",2468.8972476052
"NA.46","UM",3361.36
"NA.47","CNRS",99.98
"NA.47","IRD",199.7
"NA.47","UM",246.21
"NA.51","CNRS",5452.66
"NA.51","UM",404.45
"NA.52","CNRS",370.08
"NA.52","IRD",378.5
"NA.52","UM",2541.09
"NA.54","CNRS",6582.12
"NA.54","UM",769.92
"NA.55","CNRS",7961.72
"NA.55","IRD",1453.7
"NA.55","UM",6121.65
"NA.56","CNRS",404
"NA.56","UM",201.95
"NA.71","IFREMER",3058.58
"NA.73","CNRS",1673.04
"NA.73","UM",255.23
"NA.74","CNRS",467.12
"NA.74","IRD",164.8
"NA.74","UM",219.71
"NA.75","CNRS",170.52
"NA.75","IRD",117.9
"NA.75","UM",358.36
"NA.76","CNRS",3209.66
"NA.77","CNRS",101.06
"NA.77","UM",780.43
"NA.78","CNRS",6918.98
"NA.79","CNRS",1495.44
"NA.81","CNRS",115.8
"NA.81","IFREMER",510.38
"NA.81","IRD",450
"NA.83","CNRS",3325.44
"NA.83","UM",528.85
"NA.84","CNRS",3994.86
"NA.85","CNRS",2043.76
"NA.85","IRD",13341.9465925389
"NA.85","UM",1054.64
"NB.01","CNRS",4810.08
"NB.01","IFREMER",1590.41
"NB.01","IRD",17488.77
"NB.01","UM",1132
"NB.02","CNRS",5181.12
"NB.02","UM",1305.26
"NB.03","CNRS",1274.22
"NB.03","IFREMER",2219.01
"NB.03","UM",247.25
"NB.04","CNRS",1235.76
"NB.04","IFREMER",39.5
"NB.04","UM",37.74
"NB.05","CNRS",180.44
"NB.05","UM",528.35
"NB.11","CNRS",6687.3
"NB.11","IFREMER",3517.03
"NB.11","IRD",606.545469744221
"NB.11","UM",3261.51
"NB.12","CNRS",2080.12
"NB.12","IFREMER",334.52
"NB.12","IRD",661.35
"NB.12","UM",245.83
"NB.13","CNRS",5599.42
"NB.13","IFREMER",3650.46
"NB.13","UM",1099.81
"NB.14","CNRS",2242.08
"NB.14","IFREMER",617.81
"NB.14","UM",290.39
"NB.15","CNRS",1681.26
"NB.15","IFREMER",2779.82
"NB.15","UM",176.22
"NB.16","CNRS",150.24
"NB.16","UM",94.59
"NB.17","CNRS",1981.4
"NB.17","IFREMER",632.04
"NB.17","IRD",1797.03
"NB.17","UM",2132.9
"NB.21","CNRS",9425.84
"NB.21","IFREMER",1085.5
"NB.21","UM",2065.67
"NB.22","CNRS",1526.26
"NB.22","IFREMER",259.59
"NB.23","CNRS",2903.44
"NB.23","IRD",320.17
"NB.23","UM",4480.7
"NB.24","CNRS",11663.88
"NB.24","IFREMER",509.62
"NB.24","IRD",78.5
"NB.24","UM",275.45
"NB.33","IFREMER",289.9
"NB.34","IFREMER",161.18
"NB.35","CNRS",2009.04
"NB.35","IFREMER",1317.42
"NB.35","IRD",68.3638024857303
"NB.35","UM",3294.27
"NB.43","CNRS",834.38
"NB.43","IFREMER",500.1
"NB.43","UM",85.54
"NB.45","IRD",2.56627197023357
"NB.45","UM",103.78
"NB.51","CNRS",4376.78
"NB.51","IFREMER",5687.75
"NB.51","UM",3431.22
"NB.61","CNRS",2525.88
"NB.61","UM",141.72
"NB.62","IRD",31
"NB.71","IFREMER",2409
"NB.71","IRD",205
"NB.73","CNRS",82.46
"NB.73","UM",3312.23
"NB.74","CNRS",1524
"NB.75","IRD",2150
"NB.75","UM",1645
"NB.76","IFREMER",12744.93
"NB.77","CNRS",495.36
"NB.77","IFREMER",488.4
"NB.78","CNRS",6840.46
"NB.78","IFREMER",662.43
"NB.79","CNRS",1492.94
"NB.79","IRD",215.15
"NB.79","UM",62.79
"NB.81","CNRS",1990
"NB.82","IRD",1986.7
"NB.83","IRD",29.5751093440575
"NB.83","UM",8825.2
"NB.84","CNRS",894.42
"NB.84","IFREMER",5870.66
"NB.84","IRD",3400
"NB.84","UM",1449.16
"NB.86","CNRS",1102
"NB.87","IFREMER",46794.21
"NB.87","IRD",540.880381922999
"NC.02","IRD",350.265740024666
"NC.03","IRD",549.9
"NC.07","UM",1986.36
"NC.16","IFREMER",1007
"NC.16","IRD",1947
"NC.51","CNRS",1036
"NC.54","CNRS",752.64
"NC.55","CNRS",5671.14
"NC.55","UM",384.76
"NC.56","CNRS",2664
"NC.56","UM",887
"NC.71","CNRS",13120
"NC.74","UM",354
"ND.01","CNRS",260
"ND.01","UM",1923.81
"ND.03","CNRS",2560
"ND.03","UM",702.8
"ND.04","UM",959.8
"ND.05","UM",805.21
"ND.11","IFREMER",2293
"ND.11","UM",526
"ND.13","CNRS",5935.16
"ND.14","CNRS",13161.56
"ND.14","IFREMER",1709.9
"ND.14","IRD",894
"ND.14","UM",922
"ND.52","CNRS",1638.4
"ND.52","UM",1655
"ND.53","UM",306
"ND.55","IRD",3042
"NE.01","CNRS",1678.8
"NE.01","IFREMER",2733.99
"NE.01","IRD",3465.96960010241
"NE.01","UM",1030
"NE.02","CNRS",76631.88
"NE.02","IFREMER",69859.56
"NE.02","IRD",6941.29607828142
"NE.02","UM",718063.24
"NE.04","CNRS",6636.8
"NE.04","IFREMER",143.7
"NE.04","UM",17800.88
"NE.11","IRD",5465
"NE.21","IRD",3513.97811012513
"NE.22","CNRS",16858.4
"NE.22","IRD",5571.70239166601
"NE.22","UM",2994
"NE.23","IFREMER",1600
"NE.23","UM",3920
"NE.25","IFREMER",78.19
"OA.11","IRD",934.889606642466
"OA.12","IFREMER",48.06
"OA.45","IRD",274.99
"PB.12","CNRS",467.04
"PB.12","IFREMER",1585.13
"PB.12","UM",23540.75
"PB.13","UM",720
"PB.34","UM",12201
"PC.31","UM",699
"QA.04","IFREMER",77.46
"QB.01","IFREMER",735.74
"RA.16","IRD",300
"RA.18","CNRS",1063.34
"RA.19","UM",854.97
"RA.21","IFREMER",197.77
"RA.21","UM",1340.53
"RA.22","IFREMER",1616.94
"RA.22","IRD",179.227656812849
"RA.23","CNRS",1026.74
"RA.23","IFREMER",445.7
"RC.03","IRD",3320.1
"RD.01","IFREMER",1000
"RD.02","CNRS",1252
"RD.02","IFREMER",590
"RD.02","IRD",297.6
"SB.24","UM",1488.79877501647
"SB.51","CNRS",3230
"SB.52","CNRS",266.2
"SB.52","IFREMER",1401.8
"SB.52","IRD",951
"SG.43","CNRS",4416
"SH.11","CNRS",2207.6
"SH.44","IFREMER",1650
"TA.01","CNRS",988.2
"TA.01","IFREMER",2373.18
"TA.01","IRD",2006.79
"TA.22","IRD",23.41
"TB.03","IFREMER",83606.26
"TB.03","UM",874
"TB.05","CNRS",9000
"TB.11","IRD",89.5156798360161
"TB.12","CNRS",26.62
"TB.12","IFREMER",1635.75
"TB.12","IRD",925.7
"TB.13","CNRS",267.62
"TB.13","IRD",131.57
"TC.11","IRD",4617
"UA.01","UM",204448
"UA.13","IFREMER",302.22
"UA.14","IFREMER",64.34
"UA.14","IRD",17.9101802158024
"UA.16","IFREMER",13.39
"UA.34","CNRS",2000
"UA.37","CNRS",8742.8
"UA.41","UM",74.17
"UA.51","IRD",882.11
"UA.51","UM",733.08
"UA.52","CNRS",9468.84
"UA.52","IRD",1111.08
"UA.52","UM",18828.01
"UA.53","UM",1701.78
"UB.02","IFREMER",1075
"UB.13","IRD",104.99
"UB.21","UM",770
"UC.12","IRD",24612.1
"UC.13","IRD",1317.35
"UC.15","IRD",166.66
"UC.15","UM",1050
"UC.21","CNRS",504
"UC.24","IFREMER",450
"UC.24","IRD",8059.95667398928
"UC.25","IRD",705.14
"UC.25","UM",182.49
"UC.31","UM",64989.74
"UC.33","CNRS",288.98
"UC.33","IRD",952.92
"UC.42","CNRS",7800
"UD.01","UM",370
"UG.13","IRD",185.108142115208
"UH.01","IRD",386.92
"UH.02","IFREMER",1918.55
"UH.03","IFREMER",31008
"UH.12","IRD",929
"UH.14","IRD",9000
"UH.14","UM",63383.33
"VA.01","IFREMER",1464.14
"VA.01","IRD",693.800274881507
"VA.03","IFREMER",51.43
"VA.21","CNRS",404.6
"VA.22","UM",280
"VC.01","UM",1800
"XA.01","IRD",26537.27
"XA.02","IRD",36805.530669739
"XA.22","IRD",3614.86194979243
"XB.14","IRD",4822.6
"XC.01","CNRS",13058.48
"XC.01","IFREMER",5620.05
"XC.01","IRD",12758.6026492554
"XC.01","UM",3230.24
"XC.02","IFREMER",855
"XC.02","IRD",566.5
"XC.02","UM",276
"XC.13","IRD",5262.16537589775
"XC.14","CNRS",13500.66
"XC.14","IFREMER",7727.22
"XC.14","IRD",1250
"XC.14","UM",11372.377010956
"XC.17","UM",1410
"XC.21","IRD",4200
"XC.21","UM",41292
"XC.26","CNRS",2000
"XC.26","UM",800
"XC.27","IFREMER",4000
"XC.32","UM",2185.95
"XD.06","IRD",131032.45
"XD.25","CNRS",1200
"XD.31","IRD",31795.8
"XD.32","IRD",51336.6
"XD.32","UM",48594.6
"XD.41","IRD",2380.50619171683
"XD.46","IRD",700
"XD.47","IFREMER",3066
"XD.56","UM",3027.19
"XD.61","CNRS",4069.46
"XD.61","IRD",895.300148099846
"XD.62","IFREMER",1861.7
"XD.62","IRD",1823.31934440411
"XD.63","IRD",701.16720498185
"XF.01","CNRS",77242.12
