,years,months,amorell,bcheikhm,cfelix,clujanpa,dkaplan,fbriton,fmoullec,gperez,iperez,jbarde,jrault,mbelhare,mlengaig,mmetge,nbarrier,omaury,sakia,sdrira,timzilen,vdupre,yjshin,yyhamemo,fhoungna,ipitavac
0,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017,5,0.0,0.0,0.0,0.0,0.0,76928773.0,6957556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733879.0,0.0,0.0,0.0,0.0,0.0,81662188.0,0.0,0.0,0.0
5,2017,6,0.0,0.0,0.0,0.0,0.0,0.0,15695059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5211281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017,7,0.0,0.0,0.0,0.0,0.0,28343583.0,345224732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18996806.0,0.0,0.0,0.0,0.0,0.0,11954588.0,0.0,0.0,0.0
7,2017,8,0.0,0.0,0.0,0.0,0.0,40335668.0,1397671869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466091233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017,9,0.0,0.0,0.0,0.0,0.0,998446.0,1678776301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149677186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,1190463500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558986.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2017,11,0.0,0.0,0.0,0.0,0.0,0.0,784605070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2017,12,0.0,0.0,0.0,0.0,0.0,0.0,437838664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2704086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,1232795696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20743266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,771659115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,1136624142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38744830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,1288055837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6167599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2018,5,0.0,0.0,0.0,0.0,0.0,629.0,1241271309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20152065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2018,6,0.0,0.0,0.0,0.0,0.0,5106037.0,905014795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2018,7,0.0,0.0,0.0,0.0,0.0,7311933.0,909764363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81069368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2018,8,0.0,0.0,0.0,0.0,0.0,0.0,1076146396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16769180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2018,9,0.0,0.0,0.0,0.0,360123.0,1070567.0,1026646430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54026177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2018,10,0.0,0.0,0.0,3034.0,0.0,31808369.0,713180511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53563330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2018,11,0.0,0.0,0.0,0.0,0.0,983065.0,411089911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42722143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2018,12,0.0,0.0,0.0,0.0,0.0,234847.0,496384755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56673452.0,5582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,543808843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,276407074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,291739622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44362667.0,17.0,0.0,0.0,0.0,0.0,0.0,559178.0,0.0,0.0
27,2019,4,0.0,0.0,0.0,0.0,1240214.0,0.0,45389180.0,0.0,0.0,0.0,6649366.0,0.0,0.0,0.0,12308980.0,35476287.0,0.0,0.0,0.0,0.0,0.0,1003903.0,0.0,0.0
28,2019,5,0.0,0.0,0.0,0.0,14716671.0,0.0,0.0,491673.0,0.0,0.0,53221364.0,0.0,0.0,0.0,76298151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2019,6,0.0,0.0,0.0,20601.0,357653.0,0.0,0.0,0.0,0.0,0.0,91542141.0,0.0,0.0,0.0,151071581.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2019,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45127751.0,0.0,0.0,0.0,144906422.0,0.0,0.0,0.0,0.0,0.0,0.0,320388.0,0.0,0.0
31,2019,8,2198790.0,0.0,0.0,0.0,0.0,66633.0,0.0,0.0,0.0,0.0,2001176.0,0.0,0.0,0.0,326344159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2019,9,8537128.0,0.0,0.0,0.0,0.0,9417567.0,0.0,0.0,0.0,0.0,89189257.0,0.0,0.0,0.0,483966640.0,0.0,0.0,0.0,0.0,0.0,0.0,284073.0,0.0,0.0
33,2019,10,1892892.0,0.0,0.0,0.0,0.0,5249195.0,0.0,0.0,0.0,0.0,117447146.0,0.0,0.0,0.0,362228416.0,0.0,0.0,0.0,0.0,0.0,0.0,520239.0,0.0,0.0
34,2019,11,11456305.0,0.0,0.0,0.0,0.0,21081538.0,292438.0,0.0,0.0,0.0,32114974.0,0.0,0.0,0.0,168103096.0,0.0,0.0,0.0,0.0,0.0,0.0,1643984.0,0.0,0.0
35,2019,12,0.0,0.0,0.0,0.0,0.0,10903906.0,0.0,0.0,0.0,0.0,4503462.0,0.0,0.0,0.0,61812611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020,1,14377507.0,0.0,0.0,0.0,0.0,0.0,2205983.0,0.0,0.0,0.0,129821151.0,0.0,0.0,0.0,275244016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020,2,15675331.0,0.0,0.0,0.0,0.0,32943489.0,2353871.0,0.0,0.0,0.0,468812568.0,0.0,0.0,0.0,34427473.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0
38,2020,3,7052274.0,0.0,0.0,0.0,0.0,67090554.0,1954692.0,0.0,0.0,0.0,32836921.0,0.0,0.0,0.0,4856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020,4,0.0,590296.0,0.0,0.0,0.0,46344594.0,2665025.0,0.0,0.0,0.0,42988791.0,0.0,0.0,0.0,221093104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020,5,7298245.0,94253.0,61426.0,0.0,4009.0,3522747.0,0.0,0.0,0.0,0.0,223022637.0,0.0,0.0,0.0,200761483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020,6,2052906.0,18246750.0,36491.0,0.0,0.0,24508180.0,626204.0,0.0,0.0,0.0,653605554.0,0.0,0.0,0.0,16238544.0,0.0,6068.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020,7,35686917.0,51432410.0,0.0,0.0,1737.0,3258939.0,964.0,15993568.0,24928.0,0.0,254794957.0,0.0,0.0,0.0,46205312.0,0.0,39674559.0,540490.0,0.0,0.0,0.0,560954.0,0.0,0.0
43,2020,8,25511420.0,0.0,4183.0,0.0,0.0,0.0,231329.0,45748950.0,330930.0,0.0,427759364.0,0.0,0.0,0.0,416976843.0,0.0,4422011.0,1004224.0,0.0,0.0,0.0,125583.0,0.0,0.0
44,2020,9,15274414.0,104719012.0,3977.0,0.0,701221.0,0.0,0.0,18969684.0,0.0,0.0,657880464.0,0.0,6449990.0,0.0,72499175.0,3.0,12688698.0,344437.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020,10,22856666.0,228461859.0,31051.0,0.0,4.0,0.0,0.0,34623.0,0.0,0.0,552435880.0,0.0,4017153.0,0.0,42645977.0,0.0,7669533.0,191363.0,1700284.0,0.0,0.0,0.0,0.0,0.0
46,2020,11,30974305.0,539404.0,74918.0,0.0,21439.0,2992899.0,0.0,1510924.0,0.0,0.0,686751104.0,0.0,9785.0,0.0,46329864.0,232263337.0,1716647.0,39536.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020,12,1981342.0,0.0,304143.0,0.0,0.0,0.0,0.0,17595.0,5.0,0.0,299833577.0,0.0,8812382.0,0.0,51633081.0,0.0,7795074.0,1353849.0,353396.0,0.0,0.0,0.0,0.0,0.0
48,2021,1,27645364.0,0.0,0.0,27642.0,0.0,0.0,0.0,0.0,0.0,0.0,540878153.0,78844266.0,0.0,0.0,67777553.0,0.0,0.0,2189383.0,2827494.0,0.0,0.0,0.0,0.0,0.0
49,2021,2,5473778.0,0.0,1416.0,70002.0,0.0,0.0,0.0,0.0,0.0,0.0,944479712.0,92443525.0,0.0,0.0,175887611.0,287872896.0,0.0,1546825.0,294053.0,0.0,0.0,0.0,0.0,0.0
50,2021,3,12622653.0,79571543.0,0.0,379214.0,0.0,0.0,0.0,0.0,16548.0,0.0,931833896.0,0.0,0.0,33832676.0,175697941.0,92396024.0,1655233.0,1534120.0,848303.0,325.0,0.0,0.0,0.0,0.0
51,2021,4,16462999.0,122129586.0,0.0,209850.0,0.0,0.0,267792.0,21038.0,0.0,0.0,378295723.0,0.0,0.0,333409511.0,418135230.0,96839000.0,15721372.0,2019023.0,9631371.0,0.0,99222.0,0.0,94962.0,612857.0
52,2021,5,17033430.0,11.0,0.0,2055059.0,94005.0,0.0,0.0,83291.0,0.0,20.0,756064771.0,0.0,11749902.0,28777.0,88291436.0,45687813.0,1947796.0,12200846.0,14936060.0,0.0,1019241.0,0.0,985919.0,1478237.0
53,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2021,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2021,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
